,tweet_text
1/3/2019 22:16,"b'RT @RajaPurwa: Nie #CeritaPrabowo lagi ttg isu kerusuhan 98, simak baik-baik ilustrasinya\n\nSetelah liat, jadi yang harusnya bertanggung jaw\xe2\x80\xa6'"
1/3/2019 22:16,b'RT @Dody_Lukas___: 41. Antara lain ia berhasil membujuk Amien Rais untuk membatalkan rencana doa bersama di Monas. Ia juga bertanya kepada\xe2\x80\xa6'
1/3/2019 22:15,"b'RT @Dody_Lukas___: 40. Meskipun akhirnya perannya ini kemudian menimbulkan kontroversi, namun ia juga mengambil beberapa langkah penting ya\xe2\x80\xa6'"
1/3/2019 22:15,"b'RT @Dody_Lukas___: 39. Permintaan ini dipenuhi Prabowo dengan membantu mengamankan sejumlah bangunan penting, khususnya rumah dinas Wakil P\xe2\x80\xa6'"
1/3/2019 22:15,b'RT @helmifelis: 1. Malam tiba orang bertanya siapa wakil Sandi. Harus ditentukan malam ini\n\nMobil Anies Baswedan terlihat masuk\nDunia maya\xe2\x80\xa6'
1/3/2019 22:15,b'RT @zarazettirazr: #CeritaPrabowo\n SBY Yakin Prabowo Menang https://t.co/C3TvOKOopk'
1/3/2019 22:15,"b'RT @helmifelis: 2. Didalam kejadian berbeda yang memilih Anies justru Prabowo\n\nDia berkata ;\n""Ketika kita bekerja untuk rakyat singkirkan s\xe2\x80\xa6'"
1/3/2019 22:15,b'RT @tgoehwaluyo: Bukan #ceritaprabowo\n\n#17AprilPrabowoPresiden #2019GantiPresiden https://t.co/UW8DhlkZwm'
1/3/2019 22:15,"b'RT @Dody_Lukas___: 38. Sebagai Pangkostrad yang membawahi pasukan cadangan ABRI yang jumlahnya cukup besar pada waktu itu , Prabowo diminta\xe2\x80\xa6'"
1/3/2019 22:15,b'RT @Dody_Lukas___: 37. Rentetan kasus yang terjadi pada tahun 1998 ada banyak hal yang disangkakan kepada beliau serta sering dijadikan kam\xe2\x80\xa6'
1/3/2019 22:15,b'RT @RanupsProSandi: Senangnya saat berikhtiar bersama demi kemenangan \n#CeritaPrabowo #PrabowoSandi \n#2019GantiPresiden \n#2019PrabowoSandi\xe2\x80\xa6'
1/3/2019 22:15,b'RT @Dody_Lukas___: 36. diantaranya beberapa Olimpiade dalam berbagai bidang diselenggarakan oleh prabowo subianto diantaranya Olimpiade Fis\xe2\x80\xa6'
1/3/2019 22:15,b'RT @army172: Bangga sekali bisa ikut dlm bagian kecil dari perjuangan beliau mewujudkan kedaulatan negara ini. Satu2nya tokoh nasional yg b\xe2\x80\xa6'
1/3/2019 22:15,b'RT @SaidRahmad: https://t.co/kBdutOmtRm\n@helmifelis @MichelaniaAdam @jokoedy6 @tolakfitnah29 @BangPino_ @putrabanten80 @Umnia77 @saididu\xe2\x80\xa6'
1/3/2019 22:15,b'RT @DonAdam08: #CeritaPrabowo Sudah TT. https://t.co/IrrQqI3qso'
1/3/2019 22:15,"b'RT @Dody_Lukas___: 35. Disetiap artikel yang saya baca kalau bukan beliau dikaitkan dengan politik yah pelanggaran ham, bosan juga bacanya,\xe2\x80\xa6'"
1/3/2019 22:14,"b'RT @Dody_Lukas___: 34. jadi salah kaprah apabila dikatakan nama beliau di militer harum karena mertuanya, toh dia diangkat jadi menantu Pre\xe2\x80\xa6'"
1/3/2019 22:14,b'RT @khibar_p: #CeritaPrabowo\n#2019GantiPresiden\n#17AprilPrabowoPresiden\n#2019TetapAntiPKI\n#2019TakutDiganti https://t.co/SadeDlRMyi'
1/3/2019 22:14,"b'RT @Privideniya_TL: kelar nonton Final Pencak Silat Asian Games.... pak prab berjalan  menuju mobil, pas liwat salim dulu, trus pak, minta\xe2\x80\xa6'"
1/3/2019 22:14,b'RT @YusranSofyan_YS: banyak yg bertanya spt apa sih sosook pak @prabowo? bagi sy beliau sosok strong leadership #CeritaPrabowo https://t.co\xe2\x80\xa6'
1/3/2019 22:14,"b'RT @Dody_Lukas___: 33. singkatnya, Prabowo termasuk prajurit yang paling cemerlang di angkatannya, karirnya melejit dan bahkan dijadikan me\xe2\x80\xa6'"
1/3/2019 22:14,b'RT @AsFairus: Kalo #CeritaPrabowo selalu menarik perhatian secara jagoan gw dan akan coblos pada 17April dong https://t.co/Cs1oN4tMtG'
1/3/2019 22:14,b'Berhasil memimpin para prajurit TNI bukan berarti berhasil memimpin bangsa ini #CeritaPrabowo'
1/3/2019 22:14,b'RT @Dody_Lukas___: 32. Beliau sebenarnya disarankan oleh ayahnya untuk melanjutkan study di luar negeri bahkan dia sudah diterima di dua Un\xe2\x80\xa6'
1/3/2019 22:14,"b'RT @NahlaChery: \xe2\x80\x9dSaat ditanya soal tes Qur\xe2\x80\x99an di Aceh, pak @prabowo langsung menanyakan; \xe2\x80\x9cStandarnya apa? Qari? Sebab masyarakat Aceh di sa\xe2\x80\xa6'"
1/3/2019 22:14,b'RT @Ferista: Dan Mas Narend berkampanye terus untuk bapak @prabowo \xf0\x9f\x98\x9c karena Mas Narend sangat mengagumi sosok beliau #CeritaPrabowo https:/\xe2\x80\xa6'
1/3/2019 22:14,b'RT @MurtadhaOne: #CeritaPrabowo capres ijtima yg gak ngerti adab saat adzan berkumandang https://t.co/ZbJABOBxvm'
1/3/2019 22:14,"b'RT @Dody_Lukas___: 31. Prabowo Subianto merupakan anak dari Soemitro Djojohadikoesoemo seorang begawan ekonomi ternama di indonesia, pencet\xe2\x80\xa6'"
1/3/2019 22:14,b'RT @Dody_Lukas___: 31. namun justru disembunyikan oleh sebagian media dan bahkan ada yang menggoreng ulang tindakan beliau sehingga berbau\xe2\x80\xa6'
1/3/2019 22:14,"b'RT @DheaMerlinda: Saya : Bapakkkk tunggu kita blm selfie.\nP.Prabowo : Loh blm toh\nSaya : Blm pak,gk bohong deh kyk mukidi\nP.Prabowo : hahah\xe2\x80\xa6'"
1/3/2019 22:14,b'#CeritaPrabowo\n#2019GantiPresiden\n#17AprilPrabowoPresiden\n#2019TetapAntiPKI\n#2019TakutDiganti https://t.co/SadeDlRMyi'
1/3/2019 22:14,b'RT @IwanSet92474607: #CeritaPrabowo \n#CeritaPrabowo \n#CeritaPrabowo https://t.co/ZYHMyKgrWK'
1/3/2019 22:13,"b'RT @Dody_Lukas___: 30. ada yang menaikkan elektabilitas dengan cara melakukan banyak pencitraan musiman, namun Tokoh yang kerap disapa Prab\xe2\x80\xa6'"
1/3/2019 22:13,"b'RT @Gemacan70: Kalau kita bandingkan mr.nganu ngono jauh banget bedanya , prabowo jelas dan akurat bibit , bebet dan bobotnya...nah mulyono\xe2\x80\xa6'"
1/3/2019 22:13,"b'RT @RajaPurwa: Owhhh ini #CeritaPrabowo \nTentang Bobby si Kucing Istimewa nan Bahagia\n\nYa udh, yukkk goyang mang jari-jemarinya! :-)\n https\xe2\x80\xa6'"
1/3/2019 22:13,b'RT @AgungS1902: Banyak orang yang mencibir dengan status perkawinan pak @prabowo namun hal itu tidak menyurutkan semangat beliau dalam memb\xe2\x80\xa6'
1/3/2019 22:13,"b'RT @fariomeda: 1. Pada tahun 1993 @prabowo mendirikan Perguruan Silat Satria Muda Indonesia (SMI), dan  memiliki 27 komisariat daerah di 27\xe2\x80\xa6'"
1/3/2019 22:13,"b'RT @PejuangFPI: Curhat Prof Soemitro Djojohadikusumo ""Saya Kangen Anak Saya Prabowo"" \n#CeritaPrabowo\nhttps://t.co/fiVQR4dZpa'"
1/3/2019 22:13,"b'RT @Dody_Lukas___: 29. Keikhlasan dalam keheningan, itulah julukan yang tepat saya berikan kepada tokoh yang satu ini, pasalnya pergulatan\xe2\x80\xa6'"
1/3/2019 22:13,b'#CeritaPrabowo https://t.co/k9dml0Zcwk'
1/3/2019 22:13,b'RT @Gemacan70: Tuh  ini #CeritaPrabowo dari juru bicara istana lho ..\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/7GcQCceqKN'
1/3/2019 22:13,b'RT @bangagoeng96: #CeritaPrabowo \nhttps://t.co/g2u774N4TP'
1/3/2019 22:13,"b'RT @Heru_Catur: saya tambahi ya Pak @rockygerung\npak Prabowo sukses menjadikan partai Gerindra peringkat 3 pada pemilu 2014, \nngak gampang\xe2\x80\xa6'"
1/3/2019 22:13,b'RT @zarazettirazr: #CeritaPrabowo \nTunggu tanggal mainnya JUMAT pekan ini bersama @SBYudhoyono https://t.co/piviuYXc1H'
1/3/2019 22:13,b'RT @Dody_Lukas___: 28. Terlebih-lebih bagi mereka yang* selama ini tergabung dalam keluarga besar HKTI. Bersama Prabowo kita membangun peta\xe2\x80\xa6'
1/3/2019 22:13,b'#CeritaPrabowo https://t.co/XqEkSgihOJ'
1/3/2019 22:13,b'RT @Ny_AzizAlSaggaf: \xe2\x80\x9cJika Kamu Meremehkan Negara Dan Pasukan Saya. Saya Bisa Menembak Kepalamu. Kami Mengusir Penjajah Hanya Gunakan Bambu\xe2\x80\xa6'
1/3/2019 22:13,b'RT @Gerindra: Salah satu bagian terbaik dalam #CeritaPrabowo. Pada waktu itu. https://t.co/ig1bWJP2eN'
1/3/2019 22:13,"b'RT @Gerindra: Viral! Hastag #CeritaPrabowo, Apa yang Dibahas? https://t.co/jG0U9IQdbM'"
1/3/2019 22:13,"b'RT @yusuf_iye: #CeritaPrabowo Semua orang tau, bahkan dunia pun mengakui bahwa KOPASSUS adalah salah satu pasukan elite terbaik di dunia, d\xe2\x80\xa6'"
1/3/2019 22:13,"b'RT @Dody_Lukas___: 26. Mengacu pada rekam jejak Prabowo Subianto yang demikian, rasanya tidak terlalu salah bila dibandingkan dengan calon\xe2\x80\xa6'"
1/3/2019 22:13,"b'RT @MichelaniaAdam: @vierda Capres ga mampu presentasikan visi misi, lempar handuk saja. Bisanya apa Capres kayak gitu? Bikin gaduh saja\n\n#\xe2\x80\xa6'"
1/3/2019 22:12,"b'RT @ARP89: Banyak fitnah yang tertuju padanya, ada org2 yg dibesarkannya dan akhirnya berkhianat bergabung bersama komprador2. namun \xe2\x81\xa6@prab\xe2\x80\xa6'"
1/3/2019 22:12,b'RT @Dody_Lukas___: 25. Prabowo sangat senang jika dapat bertukar pikir dengan kaum muda yang memiliki komitmen untuk tumbuh menjadi petani\xe2\x80\xa6'
1/3/2019 22:12,b'RT @sikapku2019: Akhirnya #CeritaPrabowo TT1 masuk tuh barang tanpa akun bot tetapi akun manusia real yg mainin cc @utuntauk @PutraErlangga\xe2\x80\xa6'
1/3/2019 22:12,b'RT @zarazettirazr: Ini juga bagian dari #CeritaPrabowo https://t.co/yqxAWfkQCP'
