,tweet_text
1/3/2019 23:39,"b'RT @SatyaJogja03: Pak Jokowi mempunyai banyak cinta dari rakyat indonesia, kalau aku mempunyai cinta dari hatimu. \xf0\x9f\x98\x82\xf0\x9f\x98\x82 #01JokowiBanyakCinta h\xe2\x80\xa6'"
1/3/2019 23:38,"b'RT @SatyaJogja03: Pak Jokowi selalu mengayomi semua golongan, dekat dan akrab dengan semua elemen bangsa. #01JokowiBanyakCinta'"
1/3/2019 23:38,b'Seperti yang dibuat oleh kubu sono \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 #01JokowiLagi #01JokowiBanyakCinta #2019PilihJokowi #JokowiMembangunIndonesia\xe2\x80\xa6 https://t.co/HCaEaes5Gb'
1/3/2019 23:37,b'RT @KaratTangki: @BiLLRaY_ Pak @jokowi memberi contoh yang baik...\n#01JokowiBanyakCinta'
1/3/2019 23:37,b'RT @BamsBulaksumur: Buat para penyebar hoaks siap siap gw panah \xf0\x9f\x98\x81 #01JokowiBanyakCinta https://t.co/P2zNgbc4Z9'
1/3/2019 23:36,"b'Hahahahha lucu juga ya, jelas2 nyebar hoax lagi eh malah bilang rezim otoriter #KoalisiHoax #KoalisiPraBohong\xe2\x80\xa6 https://t.co/LNy8HVGARX'"
1/3/2019 23:35,"b'Hujan, Panas tidak menyurutkan Niat dan semangat beliau dalam bekerja untuk indonesia #01JokowiBanyakCinta\xe2\x80\xa6 https://t.co/brMFNP2ufN'"
1/3/2019 23:34,b'RT @diahbelia: @jokowi #01JokowiBanyakCinta amin ya Allah'
1/3/2019 23:34,b'RT @diahbelia: barokallah\nSemoga mendapat keberkahan dari Allah\n#01jokowibanyakcinta\n@jokowi @KHMarufAmin_ \n@MahesaTiwi @_ANDRE_OCTA_ @Nurm\xe2\x80\xa6'
1/3/2019 23:34,b'#01JokowiBanyakCinta #01JokowiLagi #2019PilihJokowi https://t.co/vh1ew9B24Q'
1/3/2019 23:33,b'RT @renaldicikal: Aseli dua kelinci @jokowi dicintai semua bangsa #01JokowiBanyakCinta https://t.co/99TayeqTv8'
1/3/2019 23:33,b'RT @HijabMaudy: syahdu banget nih @jokowi . #01JokowiBanyakCinta https://t.co/t0nWBInHOr'
1/3/2019 23:33,"b'Kok lucu ya, kucing mimin dirumah lebih pintar dari pada mereka2 ini #01JokowiBanyakCinta #01JokowiLagi\xe2\x80\xa6 https://t.co/DhSQNmCFDd'"
1/3/2019 23:32,b'RT @HusnulAlMaidana: Banyak kerja dan menebar banyak cinta ke seluruh penjuru nusantara. Pak @jokowi pemimpin idola anak bangsa.\n#01JokowiB\xe2\x80\xa6'
1/3/2019 23:32,b'RT @adedetput: Semua cinta @jokowi #01JokowiBanyakCinta https://t.co/agpWNMlawo'
1/3/2019 23:32,"b'RT @titik_poespati: Banyak ngasih sepeda dan kuis, Pak @jokowi disukai dan dinanti kehadirannya.\n#01JokowiBanyakCinta https://t.co/LuBM4fR9\xe2\x80\xa6'"
1/3/2019 23:32,"b'RT @AhmedFarisAinul: Tidak heran, Pak @jokowi sudah biasa membikin rakyatnya demikian: kesengsem kinerja nyata.\n#01JokowiBanyakCinta https:\xe2\x80\xa6'"
1/3/2019 23:31,"b""Bobotj dan Brotherhood dukung Jokowi - Kyai Ma'ruf #01JokowiBanyakCinta #BobotohSarengJokowi #01JokowiLagi\xe2\x80\xa6 https://t.co/HGd904QE5f"""
1/3/2019 23:31,b'RT @kangdede78: Hujan-hujan Pak @jokowi tetap menyalami dan memenuhi permintaan warga berswafoto di lokasi proyek pengendalian banjir Kali\xe2\x80\xa6'
1/3/2019 23:30,b'Mereka sudah buta dan tuli jadi percuma kita jelaskan kepada mereka #01JokowiBanyakCinta #2019PilihJokowi https://t.co/em5phBvfuF'
1/3/2019 23:30,b'RT @lesandra161: Pak Jokowi berziarah ke makam Bung Karno. Begini lho pak @sandiuno adabnya berziarah itu.\n#01JokowiBanyakCinta https://t.c\xe2\x80\xa6'
1/3/2019 23:29,b'Selalu Jokowi #01JokowiBanyakCinta #01JokowiLagi #2019PilihJokowi #IndonesiaMaju https://t.co/yrvXSceUbl'
1/3/2019 23:28,b'RT @SitiRohma1993: #01JokowiBanyakCinta #01JokowiLagi #CeritaPrabowo #2019PilihJokowi #IndonesiaMaju https://t.co/231HX0Z3SW'
1/3/2019 23:28,b'#01JokowiBanyakCinta #01JokowiLagi #CeritaPrabowo #2019PilihJokowi #IndonesiaMaju https://t.co/231HX0Z3SW'
1/3/2019 23:27,b'RT @NRPratiwi2: Antusias masyarakat menyambut pak @jokowi keren parah sih ini.. #01JokowiBanyakCinta https://t.co/9JDFM4wdRH'
1/3/2019 23:25,b'RT @R_GUN4W4N: Pak @jokowi Meninjau Rehap Irigasi Lodoyo dan Proyek Pengendaliaan Banjir Kali Bogel Kec Sutojayan Blitar ...!\n\nLUAR BIASA .\xe2\x80\xa6'
1/3/2019 23:25,b'RT @arjuna16sp: #01JokowiBanyakCinta Presiden @jokowi di Jawa Timur. Besok (4/1) di Trenggalek akan Sosialisasi Prioritas Penggunaan Dana D\xe2\x80\xa6'
1/3/2019 23:24,b'RT @gungsusi: Adakah niatan untuk berpolitisasi dalam memanfaatkan bencana alam ?\nKita patut mengapresiasinya juga asal tidak dipolitisasi.\xe2\x80\xa6'
1/3/2019 23:22,b'RT @nyenyenggg: Tau kan yah kalau Pak Jokowi sudah sempat dibuatkan patung lilin di Museum Madame Tussauds di Hong Kong itu? Hal ini karena\xe2\x80\xa6'
1/3/2019 23:21,b'RT @Nisa_safiyaa: Dg tegasnya bu khofifah menyerukan agar tdk salah pilih pemimpin yg bsa mnjaga tegaknya NKRI bukan yg sering mnyebar fitn\xe2\x80\xa6'
1/3/2019 23:18,b'RT @KartikaNadaPut: Ayo @DivHumas_Polri tangkap aja si @AndiArief__ biar kapok\n\nhttps://t.co/yQE4dYjsfb\n#01JokowiBanyakCinta\n@MahesaTiwi @_\xe2\x80\xa6'
1/3/2019 23:16,"b'RT @HideiaFaza: @jokowi Bahkan seorang presiden pun tak segan-segan turun langsung menghibur rakyatnya, memberikan dorongan semangat dan op\xe2\x80\xa6'"
1/3/2019 23:16,b'RT @darminikuntoro: josss #01JokowiBanyakCinta https://t.co/XKr08K105r'
1/3/2019 23:16,"b'RT @lesandra161: ""Pak Jokowi itu orangnya sederhana, makanan kesukaan beliau itu nasi padang"" Mbak Dyna pramugari Presiden Jokowi\n\n#01Jokow\xe2\x80\xa6'"
1/3/2019 23:12,b'Luar biasa. \nDana Desa ternyata sudah dinikmati juga oleh warga Papua. \n#01JokowiLagi \n#01JokowiMembangunIndonesia\xe2\x80\xa6 https://t.co/h1sZoH2WiT'
1/3/2019 23:11,"b'RT @CuteXmel: Kl niatnya baik si tengku hrsnya konfirmasi ke yg berwenang scr tertutup, bukan malah koar2 di medsos. Udah jelas niatnya apa\xe2\x80\xa6'"
1/3/2019 23:10,"b'Pada akhirnya, apa yang Anda lakukan ini adalah untuk diri sendiri, bukan untuk orang lain. #01JokowiBanyakCinta'"
1/3/2019 23:09,"b'Kebencian sangatlah melelahkan. Oleh karena itu, gunakan energi untuk hal-hal yang membuat kehidupan Anda terasa le\xe2\x80\xa6 https://t.co/dbOiLgaiNL'"
1/3/2019 23:09,"b'Memaafkan bukan berarti mengampuni perbuatan orang lain yang menyakitkan, melainkan sebagai cara agar Anda bisa mel\xe2\x80\xa6 https://t.co/nWfvjayI2x'"
1/3/2019 23:08,b'Pak @jokowi  memang dicintai rakyat #01JokowiBanyakCinta https://t.co/FaIxNwR1Lr'
1/3/2019 23:01,b'RT @rzndef: Tantangan yg dijawab dengan kerja demi cinta utk bangsa #01JokowiBanyakCinta https://t.co/GEYjm3Ph63'
1/3/2019 23:00,b'RT @MasCEPUK: Mari Bersama - Sama Berjuang Untuk Kemenangan @jokowi\n\n#01JokowiBanyakCinta https://t.co/pTT99KS6lB'
1/3/2019 22:52,"b'RT @yusuf_dumdum: Presiden @jokowi pada Kamis, 3 Januari, meninjau pembangunan yang sedang berlangsung antara lain pengendali banjir Kali B\xe2\x80\xa6'"
